Date Time, global CTA_Version, , , global CTA_Timer, , , IO A_VDR, , , global A_VIUInput_1, , , global A_VIUInput_5, , , global A_VIUInput_14, , , global A_VIUInput_15, , , global A_OSUTaco_R1, , , global A_OSUTaco_S1, , , global A_OSUTaco_T1, , , global A_OSUTaco_R2, , , global A_OSUTaco_S2, , , IO Tach1MovingDir, , , IO Tach2MovingDir, , , IO dopplerMovingDir, , , global A_CPUTemp, , , global A_CPUCTemp, , , Event Name, 
, Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , 
16/10/2018 15:34:34, 12, 0,  , 38081, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 105, 0,  , 105, 0,  , 20, 0,  , 105, 0,  , 106, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:34, 12, 0,  , 38089, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 104, 0,  , 104, 0,  , 20, 0,  , 104, 0,  , 104, 0,  , 2, 0,  , 0, 0,  , 1, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:34, 12, 0,  , 38097, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 103, 0,  , 103, 0,  , 19, 0,  , 104, 0,  , 103, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:34, 12, 0,  , 38105, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 103, 0,  , 102, 0,  , 19, 0,  , 103, 0,  , 102, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:35, 12, 0,  , 38113, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 102, 0,  , 102, 0,  , 18, 0,  , 101, 0,  , 102, 0,  , 2, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:35, 12, 0,  , 38121, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 101, 0,  , 102, 0,  , 18, 0,  , 101, 0,  , 101, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:35, 12, 0,  , 38129, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 100, 0,  , 101, 0,  , 18, 0,  , 100, 0,  , 100, 0,  , 0, 0,  , 1, 0,  , 1, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:35, 12, 0,  , 38137, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 97, 0,  , 98, 0,  , 18, 0,  , 97, 0,  , 97, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:36, 12, 0,  , 38145, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 92, 0,  , 92, 0,  , 17, 0,  , 91, 0,  , 91, 0,  , 2, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:36, 12, 0,  , 38153, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 84, 0,  , 84, 0,  , 14, 0,  , 84, 0,  , 84, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:36, 12, 0,  , 38161, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 74, 0,  , 75, 0,  , 9, 0,  , 74, 0,  , 74, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:36, 12, 0,  , 38169, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 63, 0,  , 64, 0,  , 4, 0,  , 63, 0,  , 63, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:37, 12, 0,  , 38177, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 51, 0,  , 51, 0,  , 1, 0,  , 51, 0,  , 51, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:37, 12, 0,  , 38185, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 37, 0,  , 37, 0,  , 1, 0,  , 37, 0,  , 37, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:37, 12, 0,  , 38193, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 22, 0,  , 22, 0,  , 1, 0,  , 22, 0,  , 24, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:38, 12, 0,  , 38201, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 11, 0,  , 10, 0,  , 2, 0,  , 11, 0,  , 12, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:38, 12, 0,  , 38209, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 3, 0,  , 3, 0,  , 1, 0,  , 3, 0,  , 5, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:38, 12, 0,  , 38217, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 2, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:38, 12, 0,  , 38225, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 2, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:38, 12, 0,  , 38233, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:39, 12, 0,  , 38241, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:39, 12, 0,  , 38249, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:39, 12, 0,  , 38257, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:39, 12, 0,  , 38265, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:40, 12, 0,  , 38273, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:40, 12, 0,  , 38281, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 2, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:40, 12, 0,  , 38289, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:41, 12, 0,  , 38297, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
